,id,prompt,explanation,allows_diverse_responses,is_english,is_clear,asks_for_code,formatted,would_be_selected
144,DBwaEQX,if a very pessimistic unpleasant person (like someone I know) dies and his body decomposes and nutrients are absorbed will it not kill plants or make cactus grow?,"The prompt is in English and does not ask for code. It is clear in its request, asking about the effects of a person's decomposition on plant growth. However, it does not allow for diverse responses as it is based on a specific scenario with a factual answer regarding decomposition and plant growth.",False,True,True,False,"If a very pessimistic unpleasant person dies and his body decomposes and nutrients are absorbed, will it not kill plants or make cactus grow?",False
215,J0wLIIx,If you could have a physical self what would it look like?,"The prompt allows for diverse responses as individuals can imagine a wide range of physical appearances for themselves, each unique and valid. It is in English and clearly asks for a description of a hypothetical physical self. It does not ask for code.",True,True,True,False,If you could have a physical self what would it look like?,True
31,SQCS7Zr,"could you suggest, how to maximize of three line model in organization","The prompt is unclear due to the ambiguous phrase 'three line model,' which could refer to various concepts in different contexts. This lack of clarity makes it difficult to generate diverse responses. Additionally, the prompt is in English and does not ask for code.",False,True,False,False,Could you suggest how to maximize the three line model in an organization?,False
107,55RzZZ0,you are an expert in macroeconomics. I will give you answers from an exam in a course in MSc Economics called Advanced Macroeconomic Analysis. You will provide correct solutions.  ,"The prompt asks for specific correct solutions to exam answers, which implies there is a fixed correct response for each question. This does not allow for diverse responses as it seeks specific factual answers. The prompt is in English, clear in its request, and does not ask for code.",False,True,True,False,You are an expert in macroeconomics. I will give you answers from an exam in a course in MSc Economics called Advanced Macroeconomic Analysis. You will provide correct solutions.,False
205,fWVIBFo,What are the best hotels to stay in Madeira?,"The prompt asks for recommendations on the best hotels in Madeira, which allows for diverse responses as different people may have different opinions based on various criteria such as location, amenities, price, etc. It is in English, clear in its request, and does not ask for code.",True,True,True,False,What are the best hotels to stay in Madeira?,True
79,kyCtrXT,TIL that about 10 trillion of the 14 trillion dollar debt in the US is domestically owned. ELI5 how we owe ourselves 10 trillion dollars.,"The prompt asks for an explanation of a complex economic concept in simple terms, which allows for diverse interpretations and explanations. It is in English, clear in its request, and does not ask for code.",True,True,True,False,TIL that about 10 trillion of the 14 trillion dollar debt in the US is domestically owned. ELI5 how we owe ourselves 10 trillion dollars.,True
45,hQzbwdG,Hi! Lets create a project to generate a magical school set in the Harry Potter universe,"The prompt asks for the creation of a project involving a magical school in the Harry Potter universe, which allows for diverse responses as there are many ways to conceptualize and describe such a school. It is in English, does not ask for code, and is clear in its request.",True,True,True,False,Hi! Let's create a project to generate a magical school set in the Harry Potter universe.,True
65,BndIvZj,"Explain the detailed internal architecture of the 8051 microcontroller with a suitable
diagram.","The prompt asks for a detailed explanation of the 8051 microcontroller's internal architecture, which is a specific factual request. This limits the diversity of responses, as the architecture is a fixed technical specification. Additionally, the request for a diagram suggests a need for visual content, which is not suitable for text-based language models.",False,True,True,False,Explain the detailed internal architecture of the 8051 microcontroller with a suitable diagram.,False
92,SyswdAC,"You will be receiving a literature text in chunks. Your task is to wait for all the chunks and then follow further instructions.
Wait for me to start.","The prompt does not allow for diverse responses as it is an instruction to wait for further instructions, which implies a fixed response. It is in English and clear in its request, but it does not ask for code generation.",False,True,True,False,You will be receiving a literature text in chunks. Your task is to wait for all the chunks and then follow further instructions. Wait for me to start.,False
299,WXTwDeY,We want to have group who meet every fortnight for  a discussion and learning session by inviting an Experienced professionals.they will share us wisdom in selected topic. How shall we do it?,"The prompt is asking for suggestions on organizing a group meeting with experienced professionals, which allows for diverse responses as there are many ways to structure such meetings. It is in English and does not ask for code. However, the prompt is slightly unclear due to grammatical errors and lack of specificity in the request, but the main idea is understandable.",True,True,True,False,We want to have a group who meet every fortnight for a discussion and learning session by inviting experienced professionals. They will share their wisdom on selected topics. How shall we do it?,True
